The Virginia Beach Police Department does not assume any liability for decisions made or actions taken or not taken by the recipient based on the information provided.

Every effort has been made to ensure the accuracy and completeness of the information provided. However, in some instances, cases of a sensitive nature that are under active investigation may be temporarily excluded from this site. Please refer to the user agreement statements located under the Related Documents link for more information. 

The data provided cannot be aggregated to calculate official crime volume and rates in Virginia Beach.  Official crime statistics can be found in the Virginia Beach Police Department Annual Reports.

About Neighborhood Crime: Information contained in this report is in Incident Based Reporting (IBR) format. Under IBR each offense (the crimes) that occurs during the incident (the event) is counted. This is in contrast to Uniform Crime Report (UCR) rules, where only the most severe offense is counted. For example, if a rape and robbery occurred in the same incident, under IBR both the rape and robbery are counted. Under the UCR system, only the rape is counted.  
Secondary crimes are denoted by an asterisk (*). The ATT/COM column refers to attempted or completed offenses. All victims involved in a Crime Against Persons are counted. For example, if an assault occurred with three victims, the report lists three lines of data. Motor vehicle thefts are counted once for each vehicle stolen. Unfounded incidents are excluded, meaning that after further investigation, the police determined that the reported crime did not actually occur. Incidents containing “Undetermined” in the Neighborhood column could not be matched to a neighborhood. The street number most likely fell outside the block range contained in our database.

About Incident Reports:  Information contained in this report represents the number of reports written by VBPD officers.  It is not in UCR or IBR format.
NEWSPAPER DISTRIBUTION CTR IN SEATACK                       PROSTITUTION & COMMERCIALIZED VICE (40A )                                  1           
NEWSPAPER DISTRIBUTION CTR IN SEATACK                       TRESPASS OF REAL PROPERTY (90J )                                           1           
NEWTOWN ELEMENTARY SCHOOL                                   ASSAULT, SIMPLE (13B1)                                                     1           
NEWTOWN ELEMENTARY SCHOOL                                   HIT & RUN (90ZC)                                                           1           
NEWTOWN ELEMENTARY SCHOOL                                   LARCENY, FROM MOTOR VEHICLE (23F )                                         1           
NEWTOWN ELEMENTARY SCHOOL                                   TRESPASS OF REAL PROPERTY (90J )                                           1           
NEWTOWN ELEMENTARY SCHOOL                                   WEAPON LAW VIOLATIONS (520A)                                               1           
NEWTOWN RD AREA                                             ALL OTHER REPORTABLE OFFENSES (90ZZ)                                       1           
NEWTOWN RD AREA                                             ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
NEWTOWN RD AREA                                             ASSAULT, AGGRAVATED (13A1)                                                 1           
NEWTOWN RD AREA                                             ASSAULT, SIMPLE (13B1)                                                     7           
NEWTOWN RD AREA                                             BAD CHECKS (90A )                                                          1           
NEWTOWN RD AREA                                             BURGLARY/ B & E, COMMERCIAL (220B)                                         20          
NEWTOWN RD AREA                                             BURGLARY/ B & E, RESIDENTIAL (220A)                                        1           
NEWTOWN RD AREA                                             CONCEALMENT/ PRICE CHANGING (280B)                                         1           
NEWTOWN RD AREA                                             COUNTERFEITING/ FORGERY, ALL OTHERS (250A)                                 2           
NEWTOWN RD AREA                                             CRUELTY TO ANIMALS (90Z4)                                                  2           
NEWTOWN RD AREA                                             DESTRUCTION OF PROPERTY, CITY PROPERTY (290A)                              1           
NEWTOWN RD AREA                                             DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           6           
NEWTOWN RD AREA                                             DRUG/ EQUIPMENT VIOLATIONS (35B )                                          2           
NEWTOWN RD AREA                                             DRUG/ NARCOTIC VIOLATIONS (35A1)                                           8           
NEWTOWN RD AREA                                             FALSE INFORMATION TO POLICE (90Z8)                                         1           
NEWTOWN RD AREA                                             FORGERY BY CHECK (250B)                                                    5           
NEWTOWN RD AREA                                             FRAUD, ALL OTHERS (26A1)                                                   5           
NEWTOWN RD AREA                                             FRAUD, CREDIT CARD (26B1)                                                  1           
NEWTOWN RD AREA                                             FRAUD, IDENTITY THEFT (26A7)                                               1           
NEWTOWN RD AREA                                             FRAUD, TRICK, FALSE PRETENSES (26A3)                                       5           
NEWTOWN RD AREA                                             HIT & RUN (90ZC)                                                           12          
NEWTOWN RD AREA                                             LARCENY, ALL OTHERS (23H )                                                 12          
NEWTOWN RD AREA                                             LARCENY, FROM BUILDING (23D )                                              18          
NEWTOWN RD AREA                                             LARCENY, FROM MOTOR VEHICLE (23F )                                         12          
NEWTOWN RD AREA                                             LARCENY, POCKET PICKING (23A )                                             1           
NEWTOWN RD AREA                                             LARCENY, PURSE SNATCHING (23B )                                            1           
NEWTOWN RD AREA                                             LARCENY, SHOPLIFTING (23C )                                                8           
NEWTOWN RD AREA                                             MOTOR VEHICLE THEFT (240 )                                                 1           
NEWTOWN RD AREA                                             OBSTRUCTING JUSTICE (90ZJ)                                                 1           
NEWTOWN RD AREA                                             RECOVERED VEHICLE- STOLEN OTHER JURISDICTION (99R )                        1           
NEWTOWN RD AREA                                             ROBBERY (120A)                                                             1           
NEWTOWN RD AREA                                             THREATEN BODILY HARM (13C4)                                                4           
NEWTOWN RD AREA                                             TRESPASS OF REAL PROPERTY (90J )                                           1           
NEWTOWN RD AREA                                             UNAUTHORIZED USE OF AUTO (270B)                                            1           
NEWTOWN RD AREA                                             VIOLATE PROTECTIVE ORDER (90P )                                            1           
NEWTOWN RD AREA                                             WEAPON LAW VIOLATIONS (520A)                                               1           
NEWTOWN RD AREA                                             WEAPON LAW, CONCEALED WEAPON(S) (520B)                                     1           
NEWTOWN SQUARE                                              ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       2           
NEWTOWN SQUARE                                              ARSON (200 )                                                               1           
NEWTOWN SQUARE                                              ASSAULT, AGGRAVATED (13A1)                                                 1           
NEWTOWN SQUARE                                              ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       2           
NEWTOWN SQUARE                                              ASSAULT, AGGRAVATED/ ATMP MURDER (13A2)                                    1           
NEWTOWN SQUARE                                              ASSAULT, SIMPLE (13B1)                                                     28          
NEWTOWN SQUARE                                              ASSAULT, SIMPLE, DOMESTIC (13B2)                                           29          
NEWTOWN SQUARE                                              BURGLARY/ B & E, RESIDENTIAL (220A)                                        13          
NEWTOWN SQUARE                                              COUNTERFEITING/ FORGERY, ALL OTHERS (250A)                                 1           
NEWTOWN SQUARE                                              CRUELTY TO ANIMALS (90Z4)                                                  1           
NEWTOWN SQUARE                                              DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI (290D)                         1           
NEWTOWN SQUARE                                              DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           35          
NEWTOWN SQUARE                                              DRUG/ EQUIPMENT VIOLATIONS (35B )                                          2           
NEWTOWN SQUARE                                              DRUG/ NARCOTIC VIOLATIONS (35A1)                                           6           
NEWTOWN SQUARE                                              FALSE INFORMATION TO POLICE (90Z8)                                         1           
NEWTOWN SQUARE                                              FAMILY OFFENSE, NONVIOLENT, CHILD NEGLECT (90F1)                           1           
NEWTOWN SQUARE                                              FRAUD, ALL OTHERS (26A1)                                                   2           
NEWTOWN SQUARE                                              FRAUD, WELFARE (26D )                                                      1           
NEWTOWN SQUARE                                              HIT & RUN (90ZC)                                                           7           
NEWTOWN SQUARE                                              LARCENY, ALL OTHERS (23H )                                                 8           
NEWTOWN SQUARE                                              LARCENY, FROM BUILDING (23D )                                              5           
NEWTOWN SQUARE                                              LARCENY, FROM MOTOR VEHICLE (23F )                                         16          
NEWTOWN SQUARE                                              MOTOR VEHICLE THEFT (240 )                                                 3           
NEWTOWN SQUARE                                              MURDER/ NONNEGLIGENT MANSLAUGHTER (09A )                                   1           
NEWTOWN SQUARE                                              PORNOGRAPHY/ OBSCENE MATERIAL (370 )                                       2           
NEWTOWN SQUARE                                              ROBBERY (120A)                                                             2           
NEWTOWN SQUARE                                              THREATEN BODILY HARM (13C4)                                                4           
NEWTOWN SQUARE                                              TRESPASS OF REAL PROPERTY (90J )                                           3           
NEWTOWN SQUARE                                              UNAUTHORIZED USE OF AUTO (270B)                                            1           
NEWTOWN SQUARE                                              VIOLATE PROTECTIVE ORDER (90P )                                            2           
NEWTOWN SQUARE                                              WEAPON LAW VIOLATIONS (520A)                                               3           
NEWTOWN SQUARE                                              WEAPON LAW, CONCEALED WEAPON(S) (520B)                                     1           
NEWTOWN SQUARE                                              WEAPON LAW, DISCHARGE FIREARM IN DWELLING (520D)                           1           
NEWTOWN SQUARE AREA                                         ASSAULT, SIMPLE (13B1)                                                     6           
NEWTOWN SQUARE AREA                                         ASSAULT, SIMPLE, DOMESTIC (13B2)                                           1           
NEWTOWN SQUARE AREA                                         BURGLARY/ B & E, RESIDENTIAL (220A)                                        1           
NEWTOWN SQUARE AREA                                         DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           2           
NEWTOWN SQUARE AREA                                         DRUG/ NARCOTIC VIOLATIONS (35A1)                                           2           
NEWTOWN SQUARE AREA                                         FRAUD, TRICK, FALSE PRETENSES (26A3)                                       1           
NEWTOWN SQUARE AREA                                         HIT & RUN (90ZC)                                                           4           
NEWTOWN SQUARE AREA                                         LARCENY, ALL OTHERS (23H )                                                 1           
NEWTOWN SQUARE AREA                                         PORNOGRAPHY/ OBSCENE MATERIAL (370 )                                       1           
NEWTOWN SQUARE AREA                                         WEAPON LAW VIOLATIONS (520A)                                               3           
NEWTOWN SQUARE AREA                                         WEAPON LAW, DISCHARGE FIREARM IN DWELLING (520D)                           1           
NICHOLS PARK                                                ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       2           
NICHOLS PARK                                                ASSAULT, SIMPLE (13B1)                                                     1           
NICHOLS PARK                                                ASSAULT, SIMPLE, DOMESTIC (13B2)                                           2           
NICHOLS PARK                                                BURGLARY/ B & E, RESIDENTIAL (220A)                                        1           
NICHOLS PARK                                                DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           2           
NICHOLS PARK                                                HIT & RUN (90ZC)                                                           3           
NICHOLS PARK                                                LARCENY, ALL OTHERS (23H )                                                 2           
NICHOLS PARK                                                LARCENY, FROM BUILDING (23D )                                              1           
NICHOLS PARK                                                LARCENY, FROM MOTOR VEHICLE (23F )                                         17          
NICHOLS PARK                                                TAMPERING WITH AUTO (290G)                                                 1           
NIMMO CHURCH IN NIMMO                                       ASSAULT, SIMPLE (13B1)                                                     1           
NIMMO CHURCH IN NIMMO                                       DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           2           
NIMMO CHURCH IN NIMMO                                       HIT & RUN (90ZC)                                                           1           
NIMMO CHURCH IN NIMMO                                       LARCENY, ALL OTHERS (23H )                                                 1           
NIMMO CHURCH IN NIMMO                                       LARCENY, FROM MOTOR VEHICLE (23F )                                         6           
NIMMO CHURCH IN NIMMO                                       TAMPERING WITH AUTO (290G)                                                 1           
NORTH BEACH                                                 ASSAULT, SIMPLE (13B1)                                                     5           
NORTH BEACH                                                 ASSAULT, SIMPLE, DOMESTIC (13B2)                                           3           
NORTH BEACH                                                 BURGLARY/ B & E, RESIDENTIAL (220A)                                        7           
NORTH BEACH                                                 CRUELTY TO ANIMALS (90Z4)                                                  1           
NORTH BEACH                                                 DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           3           
NORTH BEACH                                                 DRUG/ NARCOTIC VIOLATIONS (35A1)                                           1           
NORTH BEACH                                                 FRAUD, ALL OTHERS (26A1)                                                   1           
NORTH BEACH                                                 FRAUD, IDENTITY THEFT (26A7)                                               1           
NORTH BEACH                                                 HIT & RUN (90ZC)                                                           3           
NORTH BEACH                                                 LARCENY, ALL OTHERS (23H )                                                 1           
NORTH BEACH                                                 LARCENY, FROM BUILDING (23D )                                              4           
NORTH BEACH                                                 LARCENY, FROM MOTOR VEHICLE (23F )                                         10          
NORTH BEACH                                                 OBSCENE PHONE CALL/ COMMUNICATION (90ZH)                                   1           
NORTH BEACH                                                 RECOVERED VEHICLE- STOLEN OTHER JURISDICTION (99R )                        1           
NORTH BEACH                                                 TAMPERING WITH AUTO (290G)                                                 1           
NORTH BEACH                                                 THREATEN BODILY HARM (13C4)                                                2           
NORTH BEACH                                                 VIOLATE PROTECTIVE ORDER (90P )                                            2           
NORTH BEACH SHOPPES                                         ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
NORTH BEACH SHOPPES                                         ASSAULT, SIMPLE (13B1)                                                     1           
NORTH BEACH SHOPPES                                         DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           1           
NORTH BEACH SHOPPES                                         DRUG/ EQUIPMENT VIOLATIONS (35B )                                          1           
NORTH BEACH SHOPPES                                         HIT & RUN (90ZC)                                                           1           
NORTH BEACH SHOPPES                                         TRESPASS OF REAL PROPERTY (90J )                                           2           
NORTH BIRDNECK COMMONS                                      ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       2           
NORTH BIRDNECK COMMONS                                      ASSAULT, SIMPLE, DOMESTIC (13B2)                                           5           
NORTH BIRDNECK COMMONS                                      DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           4           
NORTH BIRDNECK COMMONS                                      FAMILY OFFENSE, NONVIOLENT, CONTRIBUTE TO DELINQUENCY OF MIN (90F3)        1           
NORTH BIRDNECK COMMONS                                      LARCENY, ALL OTHERS (23H )                                                 3           
NORTH BIRDNECK COMMONS                                      LARCENY, FROM MOTOR VEHICLE (23F )                                         2           
NORTH BIRDNECK COMMONS                                      MOTOR VEHICLE THEFT (240 )                                                 1           
NORTH BIRDNECK COMMONS                                      ROBBERY (120A)                                                             1           
NORTH BIRDNECK COMMONS                                      UNAUTHORIZED USE OF AUTO (270B)                                            1           
NORTH LANDING                                               ASSAULT, SIMPLE (13B1)                                                     5           
NORTH LANDING                                               ASSAULT, SIMPLE, DOMESTIC (13B2)                                           1           
NORTH LANDING                                               BURGLARY/ B & E, COMMERCIAL (220B)                                         1           
NORTH LANDING                                               BURGLARY/ B & E, RESIDENTIAL (220A)                                        1           
NORTH LANDING                                               DESTRUCTION OF PROPERTY, CITY PROPERTY (290A)                              1           
NORTH LANDING                                               DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           4           
NORTH LANDING                                               DRUG/ EQUIPMENT VIOLATIONS (35B )                                          5           
NORTH LANDING                                               DRUG/ NARCOTIC VIOLATIONS (35A1)                                           9           
NORTH LANDING                                               DRUNKENNESS (90E )                                                         1           
NORTH LANDING                                               FORCIBLE SODOMY (11B1)                                                     3           
NORTH LANDING                                               FORGERY BY CHECK (250B)                                                    1           
NORTH LANDING                                               FRAUD, ALL OTHERS (26A1)                                                   1           
NORTH LANDING                                               FRAUD, CREDIT CARD (26B1)                                                  1           
NORTH LANDING                                               FRAUD, IDENTITY THEFT (26A7)                                               3           
NORTH LANDING                                               FUGITIVE (OUT OF STATE) (90ZB)                                             1           
NORTH LANDING                                               HIT & RUN (90ZC)                                                           8           
NORTH LANDING                                               LARCENY, ALL OTHERS (23H )                                                 3           
NORTH LANDING                                               LARCENY, FROM BUILDING (23D )                                              1           
NORTH LANDING                                               LARCENY, FROM MOTOR VEHICLE (23F )                                         6           
NORTH LANDING                                               PORNOGRAPHY/ OBSCENE MATERIAL (370 )                                       1           
NORTH LANDING                                               THREATEN BODILY HARM (13C4)                                                1           
NORTH LANDING                                               TRESPASS OF REAL PROPERTY (90J )                                           3           
NORTH LANDING                                               VIOLATE PROTECTIVE ORDER (90P )                                            1           
NORTH SHORE AT RIDGELY MANOR                                ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
NORTH SHORE AT RIDGELY MANOR                                ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       1           
NORTH SHORE AT RIDGELY MANOR                                ASSAULT, SIMPLE, DOMESTIC (13B2)                                           1           
NORTH SHORE AT RIDGELY MANOR                                DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           2           
NORTH SHORE AT RIDGELY MANOR                                FRAUD, IDENTITY THEFT (26A7)                                               2           
NORTH SHORE AT RIDGELY MANOR                                LARCENY, ALL OTHERS (23H )                                                 2           
NORTH SHORE AT RIDGELY MANOR                                LARCENY, FROM MOTOR VEHICLE (23F )                                         7           
NORTH SHORE AT RIDGELY MANOR                                TAMPERING WITH AUTO (290G)                                                 1           
NORTH SHORE AT RIDGELY MANOR                                VIOLATE PROTECTIVE ORDER (90P )                                            1           
NORTHGATE IN PRINCESS ANNE PLAZA                            ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       3           
NORTHGATE IN PRINCESS ANNE PLAZA                            ASSAULT, SIMPLE (13B1)                                                     18          
NORTHGATE IN PRINCESS ANNE PLAZA                            ASSAULT, SIMPLE, DOMESTIC (13B2)                                           22          
NORTHGATE IN PRINCESS ANNE PLAZA                            BURGLARY/ B & E, RESIDENTIAL (220A)                                        9           
NORTHGATE IN PRINCESS ANNE PLAZA                            CRUELTY TO ANIMALS (90Z4)                                                  2           
NORTHGATE IN PRINCESS ANNE PLAZA                            DESTRUCTION OF PROPERTY, CITY - GRAFFITI (290C)                            1           
NORTHGATE IN PRINCESS ANNE PLAZA                            DESTRUCTION OF PROPERTY, CITY PROPERTY (290A)                              1           
NORTHGATE IN PRINCESS ANNE PLAZA                            DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI (290D)                         7           
NORTHGATE IN PRINCESS ANNE PLAZA                            DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           24          
NORTHGATE IN PRINCESS ANNE PLAZA                            DRUG/ EQUIPMENT VIOLATIONS (35B )                                          6           
NORTHGATE IN PRINCESS ANNE PLAZA                            DRUG/ NARCOTIC VIOLATIONS (35A1)                                           18          
NORTHGATE IN PRINCESS ANNE PLAZA                            FALSE INFORMATION TO POLICE (90Z8)                                         1           
NORTHGATE IN PRINCESS ANNE PLAZA                            FAMILY OFFENSE, NONVIOLENT, CONTRIBUTE TO DELINQUENCY OF MIN (90F3)        1           
NORTHGATE IN PRINCESS ANNE PLAZA                            FORGERY BY CHECK (250B)                                                    1           
NORTHGATE IN PRINCESS ANNE PLAZA                            FRAUD, ALL OTHERS (26A1)                                                   1           
NORTHGATE IN PRINCESS ANNE PLAZA                            FRAUD, CREDIT CARD (26B1)                                                  2           
NORTHGATE IN PRINCESS ANNE PLAZA                            FRAUD, IDENTITY THEFT (26A7)                                               4           
NORTHGATE IN PRINCESS ANNE PLAZA                            FRAUD, TRICK, FALSE PRETENSES (26A3)                                       1           
NORTHGATE IN PRINCESS ANNE PLAZA                            HIT & RUN (90ZC)                                                           5           
NORTHGATE IN PRINCESS ANNE PLAZA                            LARCENY, ALL OTHERS (23H )                                                 4           
NORTHGATE IN PRINCESS ANNE PLAZA                            LARCENY, FROM BUILDING (23D )                                              3           
NORTHGATE IN PRINCESS ANNE PLAZA                            LARCENY, FROM MOTOR VEHICLE (23F )                                         9           
NORTHGATE IN PRINCESS ANNE PLAZA                            MOTOR VEHICLE THEFT (240 )                                                 1           
NORTHGATE IN PRINCESS ANNE PLAZA                            OVERDOSE (90ZK)                                                            2           
NORTHGATE IN PRINCESS ANNE PLAZA                            RECOVERED VEHICLE- STOLEN OTHER JURISDICTION (99R )                        1           
NORTHGATE IN PRINCESS ANNE PLAZA                            ROBBERY (120A)                                                             2           
NORTHGATE IN PRINCESS ANNE PLAZA                            STALKING (13C5)                                                            1           
NORTHGATE IN PRINCESS ANNE PLAZA                            THREATEN BODILY HARM (13C4)                                                1           
NORTHGATE IN PRINCESS ANNE PLAZA                            UNAUTHORIZED USE OF AUTO (270B)                                            1           
NORTHGATE IN PRINCESS ANNE PLAZA                            WEAPON LAW VIOLATIONS (520A)                                               1           
NORTHGATE IN PRINCESS ANNE PLAZA                            WEAPON LAW, CONCEALED WEAPON(S) (520B)                                     2           
NORTHGATE IN PRINCESS ANNE PLAZA                            WEAPON LAW, DISCHARGE FIREARM IN DWELLING (520D)                           1           
NORTHRIDGE TOWNHOUSES                                       ABDUCTION/ KIDNAPPING (100A)                                               2           
NORTHRIDGE TOWNHOUSES                                       ALL OTHER REPORTABLE OFFENSES (90ZZ)                                       1           
NORTHRIDGE TOWNHOUSES                                       ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       3           
NORTHRIDGE TOWNHOUSES                                       ARSON (200 )                                                               3           
NORTHRIDGE TOWNHOUSES                                       ASSAULT, AGGRAVATED (13A1)                                                 2           
NORTHRIDGE TOWNHOUSES                                       ASSAULT, AGGRAVATED, DOMESTIC (13A4)                                       4           
NORTHRIDGE TOWNHOUSES                                       ASSAULT, AGGRAVATED/ ATMP MURDER (13A2)                                    2           
NORTHRIDGE TOWNHOUSES                                       ASSAULT, SIMPLE (13B1)                                                     23          
NORTHRIDGE TOWNHOUSES                                       ASSAULT, SIMPLE, DOMESTIC (13B2)                                           37          
NORTHRIDGE TOWNHOUSES                                       BURGLARY/ B & E, RESIDENTIAL (220A)                                        21          
NORTHRIDGE TOWNHOUSES                                       CRUELTY TO ANIMALS (90Z4)                                                  1           
NORTHRIDGE TOWNHOUSES                                       DESTRUCTION OF PROPERTY, CITY PROPERTY (290A)                              1           
NORTHRIDGE TOWNHOUSES                                       DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           35          
NORTHRIDGE TOWNHOUSES                                       DISTURBING THE PEACE (90C2)                                                1           
NORTHRIDGE TOWNHOUSES                                       DRUG/ EQUIPMENT VIOLATIONS (35B )                                          8           
NORTHRIDGE TOWNHOUSES                                       DRUG/ NARCOTIC VIOLATIONS (35A1)                                           28          
NORTHRIDGE TOWNHOUSES                                       ESCAPE FROM CUSTODY (90Z5)                                                 1           
NORTHRIDGE TOWNHOUSES                                       FALSE INFORMATION TO POLICE (90Z8)                                         1           
NORTHRIDGE TOWNHOUSES                                       FAMILY OFFENSE, NONVIOLENT, CHILD NEGLECT (90F1)                           1           
NORTHRIDGE TOWNHOUSES                                       FAMILY OFFENSE, NONVIOLENT, CONTRIBUTE TO DELINQUENCY OF MIN (90F3)        1           
NORTHRIDGE TOWNHOUSES                                       FRAUD, ALL OTHERS (26A1)                                                   4           
NORTHRIDGE TOWNHOUSES                                       FRAUD, IDENTITY THEFT (26A7)                                               8           
NORTHRIDGE TOWNHOUSES                                       FRAUD, WELFARE (26D )                                                      3           
NORTHRIDGE TOWNHOUSES                                       HIT & RUN (90ZC)                                                           5           
NORTHRIDGE TOWNHOUSES                                       LARCENY, ALL OTHERS (23H )                                                 7           
NORTHRIDGE TOWNHOUSES                                       LARCENY, FROM BUILDING (23D )                                              9           
NORTHRIDGE TOWNHOUSES                                       LARCENY, FROM MOTOR VEHICLE (23F )                                         15          
NORTHRIDGE TOWNHOUSES                                       MOTOR VEHICLE THEFT (240 )                                                 8           
NORTHRIDGE TOWNHOUSES                                       MURDER/ NONNEGLIGENT MANSLAUGHTER (09A )                                   1           
NORTHRIDGE TOWNHOUSES                                       OBSTRUCTING JUSTICE (90ZJ)                                                 1           
NORTHRIDGE TOWNHOUSES                                       OVERDOSE (90ZK)                                                            1           
NORTHRIDGE TOWNHOUSES                                       PORNOGRAPHY/ OBSCENE MATERIAL (370 )                                       1           
NORTHRIDGE TOWNHOUSES                                       ROBBERY (120A)                                                             3           
NORTHRIDGE TOWNHOUSES                                       ROBBERY, CARJACKING (120B)                                                 1           
NORTHRIDGE TOWNHOUSES                                       SEXUAL ASSAULT WITH AN OBJECT (11C )                                       1           
NORTHRIDGE TOWNHOUSES                                       STALKING (13C5)                                                            1           
NORTHRIDGE TOWNHOUSES                                       TAMPERING WITH AUTO (290G)                                                 1           
NORTHRIDGE TOWNHOUSES                                       THREATEN BODILY HARM (13C4)                                                5           
NORTHRIDGE TOWNHOUSES                                       THREATEN TO BURN (13C7)                                                    1           
NORTHRIDGE TOWNHOUSES                                       TRESPASS OF REAL PROPERTY (90J )                                           2           
NORTHRIDGE TOWNHOUSES                                       UNAUTHORIZED USE OF AUTO (270B)                                            2           
NORTHRIDGE TOWNHOUSES                                       WEAPON LAW VIOLATIONS (520A)                                               12          
NORTHRIDGE TOWNHOUSES                                       WEAPON LAW, CONCEALED WEAPON(S) (520B)                                     1           
NORTHRIDGE TOWNHOUSES                                       WEAPON LAW, DISCHARGE FIREARM IN DWELLING (520D)                           2           
NORTHRIDGE TOWNHOUSES                                       WEAPON LAW, SHOOTING IN A VEHICLE (520G)                                   2           
NOTTINGHAM ESTATES                                          ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
NOTTINGHAM ESTATES                                          ASSAULT, SIMPLE (13B1)                                                     1           
NOTTINGHAM ESTATES                                          ASSAULT, SIMPLE, DOMESTIC (13B2)                                           4           
NOTTINGHAM ESTATES                                          BURGLARY/ B & E, RESIDENTIAL (220A)                                        1           
NOTTINGHAM ESTATES                                          DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           1           
NOTTINGHAM ESTATES                                          DRUG/ EQUIPMENT VIOLATIONS (35B )                                          2           
NOTTINGHAM ESTATES                                          DRUG/ NARCOTIC VIOLATIONS (35A1)                                           2           
NOTTINGHAM ESTATES                                          FRAUD, TRICK, FALSE PRETENSES (26A3)                                       1           
NOTTINGHAM ESTATES                                          LARCENY, ALL OTHERS (23H )                                                 2           
NOTTINGHAM ESTATES                                          LARCENY, FROM BUILDING (23D )                                              1           
NOTTINGHAM ESTATES                                          LARCENY, FROM MOTOR VEHICLE (23F )                                         3           
NOTTINGHAM ESTATES                                          PORNOGRAPHY/ OBSCENE MATERIAL (370 )                                       1           
NOTTINGHAM ESTATES                                          TRESPASS OF REAL PROPERTY (90J )                                           2           
NOTTINGHAM SOUTH                                            ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       1           
NOTTINGHAM SOUTH                                            ASSAULT, SIMPLE, DOMESTIC (13B2)                                           3           
NOTTINGHAM SOUTH                                            FRAUD, ALL OTHERS (26A1)                                                   1           
NOTTINGHAM SOUTH                                            TRESPASS OF REAL PROPERTY (90J )                                           1           
OAK CREST APTS                                              ASSAULT, SIMPLE, DOMESTIC (13B2)                                           1           
OAK CREST APTS                                              DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           1           
OAK CREST APTS                                              THREATEN BODILY HARM (13C4)                                                1           
OAK SPRINGS                                                 ALL OTHER REPORTABLE OFFENSES (90ZZ)                                       2           
OAK SPRINGS                                                 ANNOYING PHONE CALLS/ HARASSING COMMUNICATION (90Z2)                       2           
OAK SPRINGS                                                 ASSAULT, SIMPLE (13B1)                                                     16          
OAK SPRINGS                                                 ASSAULT, SIMPLE, DOMESTIC (13B2)                                           5           
OAK SPRINGS                                                 BURGLARY/ B & E, RESIDENTIAL (220A)                                        20          
OAK SPRINGS                                                 CRUELTY TO ANIMALS (90Z4)                                                  1           
OAK SPRINGS                                                 DESTRUCTION OF PROPERTY, CITY PROPERTY (290A)                              2           
OAK SPRINGS                                                 DESTRUCTION OF PROPERTY, PRIVATE - GRAFFITI (290D)                         1           
OAK SPRINGS                                                 DESTRUCTION OF PROPERTY, PRIVATE PROPERTY (290B)                           26          
OAK SPRINGS                                                 DRUG/ EQUIPMENT VIOLATIONS (35B )                                          3           
OAK SPRINGS                                                 DRUG/ NARCOTIC VIOLATIONS (35A1)                                           9           
OAK SPRINGS                                                 EXTORTION (210 )                                                           1           
OAK SPRINGS                                                 FAMILY OFFENSE, NONVIOLENT, CHILD NEGLECT (90F1)                           1           
OAK SPRINGS                                                 FORCIBLE SODOMY (11B1)                                                     2           
OAK SPRINGS                                                 FRAUD, CREDIT CARD (26B1)                                                  1           
OAK SPRINGS                                                 FRAUD, FLIM- FLAM (26A4)                                                   1           
OAK SPRINGS                                                 FRAUD, IDENTITY THEFT (26A7)                                               6           
OAK SPRINGS                                                 FRAUD, TRICK, FALSE PRETENSES (26A3)                                       2           
OAK SPRINGS                                                 FRAUD, USE FALSE NAME (26A6)                                               1           
OAK SPRINGS                                                 HIT & RUN (90ZC)                                                           9           
OAK SPRINGS                                                 LARCENY, ALL OTHERS (23H )                                                 13          
OAK SPRINGS                                                 LARCENY, FROM BUILDING (23D )                                              4           
